"","File","T_mean","T_low10","DO_mean","DO_low10","pH_mean","pH_low10","OBJECTID","NAME","Area_sq_mi","Type","SHORTNAME","degx","degy","region","T_seasonalSD","pH_seasonalSD","DO_seasonalSD","T_eventSD","pH_eventSD","DO_eventSD","unsat_days","numdays.x","prcnt_unsat","hypo_days","numdays.y","prcnt_hypo"
"32","tphdo_mpa_18",18.1708339556883,15.95,7.99907388457058,7.49411896,7.67822056260891,7.618,18,"Cabrillo SMR",0.390529029,"SMR","Cabrillo",-117.24594,32.66732,"socal",1.3828366957179,0.0224473298110167,8.94955017400542,1.31937305948453,0.0406312424531679,10.8747775188573,3995,4017,99.4523276076674,0,4017,0
"33","tphdo_mpa_19",15.8223076923077,13.47,7.08555139910978,5.659307768,7.58529723674384,7.446,19,"Cambria SMCA",6.255289717,"SMCA","Cambria",-121.13651,35.58653,"centralca",1.24696783662793,0.055688105559922,17.6581738531969,1.37050865048421,0.0771136544620881,24.3550041439032,4009,4017,99.8008464027882,74,4017,1.84217077420961
"34","tphdo_mpa_2",18.477570326114,16.18,7.91935250281304,7.62531404,7.68710555140652,7.65,2,"Abalone Cove SMCA",4.794214352,"SMCA","Abalone Cove",-118.38554,33.71256,"socal",1.52813469496426,0.0143210278917012,5.47563429242582,1.12354052654896,0.0307959845759881,7.33264412302318,3961,4017,98.6059248195171,0,4017,0
"35","tphdo_mpa_20",17.4624919093851,15.1,7.60027818525268,6.92134044,7.65184665173015,7.5786,20,"Campus Point SMCA (No-Take)",10.55959508,"SMCA (No-Take)","Campus Point",-119.86925,34.38308,"socal",1.48881002603284,0.028439252308505,9.97463153075417,1.19405289060777,0.0430953973635705,11.7990940019265,4011,4017,99.8506348020911,1,4017,0.0248941996514812
"36","tphdo_mpa_21",14.9728655713219,12.496,6.64182586368832,4.728142688,7.53918396813542,7.366,21,"Carmel Pinnacles SMR",0.527420069,"SMR","Carmel Pinnacles",-121.9675,36.55625,"centralca",1.11466182069475,0.0679863022991216,21.3753504202097,1.50796779344416,0.100962371581567,34.1204509955009,3980,4017,99.0789146128952,343,4017,8.53871048045805
"37","tphdo_mpa_22",16.74000248942,14.7,7.33116007243216,6.7677462,7.63677296489918,7.57,22,"Carrington Point SMR",12.77991893,"SMR","Carrington Point",-120.04855,34.04201,"channel",1.31233598730493,0.0243736930256822,6.06826165142102,1.10810215696805,0.0433297841818348,11.3453898855616,4017,4017,100,0,4017,0
"38","tphdo_mpa_23",19.0214538212596,16.54,7.88165334401792,7.6637126,7.70560816529749,7.679,23,"Casino Point SMCA (No-Take)",0.007398362,"SMCA (No-Take)","Casino Point",-118.32449,33.34913,"channel",1.82210233068981,0.0105087882645923,2.38217998831509,0.939275022908683,0.0236088505289787,5.74949574918633,3916,4017,97.4856858352004,0,4017,0
"39","tphdo_mpa_24",12.6458673139159,10.57,6.35964049881205,3.75665912,7.51678018421708,7.298,24,"Castle Rock Special Closure",0.053770852,"Special Closure","Castle Rock",-124.24936,41.76129,"norca",0.660132090117859,0.139374760269023,47.2282158767227,1.4348885606466,0.101776253293868,37.2907391242121,3758,4017,93.5524022902664,943,4017,23.4752302713468
"40","tphdo_mpa_25",18.4926213592233,16,7.89832984085636,7.51651812,7.69362658700523,7.65,25,"Cat Harbor SMCA",0.257908337,"SMCA","Cat Harbor",-118.50774,33.42855,"channel",1.77151347201272,0.014146032738874,4.83131846085261,1.0034937631297,0.0341181415846183,8.86417082460516,3964,4017,98.6806074184715,0,4017,0
"41","tphdo_mpa_26",18.6008961911875,16.21,7.93528100679114,7.58051572,7.68268010953448,7.637,26,"Crystal Cove SMCA",3.527966535,"SMCA","Crystal Cove",-117.846,33.56777,"socal",1.5675973277947,0.01849815346881,6.1290909177475,1.22176624337729,0.034970241061288,8.68310868643208,3946,4017,98.2325118247448,0,4017,0
"42","tphdo_mpa_27",18.6358003485188,16.3,7.98466924677122,7.61891428,7.68569778441623,7.643,27,"Dana Point SMCA",3.468253819,"SMCA","Dana Point",-117.73653,33.47977,"socal",1.54345149415433,0.0173967673320902,6.38010116804856,1.20959167315188,0.0339226829158577,8.33363869890872,3935,4017,97.9586756285785,0,4017,0
"43","tphdo_mpa_28",13.5693883495146,11.13,5.9152805634822,3.46547004,7.47768857356236,7.286,28,"Del Mar Landing SMR",0.216263384,"SMR","Del Mar Landing",-123.51143,38.73929,"norca",1.12568395610906,0.108068729193628,38.253019500919,1.51073631049922,0.103508869771813,38.9188639185411,3987,4017,99.2531740104556,1088,4017,27.0848892208116
"44","tphdo_mpa_29",13.3624162310182,11.21,6.13355643060592,3.958891536,7.49391237241723,7.313,29,"Double Cone Rock SMCA",18.49257879,"SMCA","Double Cone Rock",-123.87382,39.77378,"norca",0.948982719255344,0.107923850469878,36.1213740472807,1.42268247915318,0.0946093273653689,34.1230455765865,3975,4017,98.9544436146378,837,4017,20.8364451082898
"45","tphdo_mpa_3",17.8922255414488,15.72,7.73391479679363,7.2957264,7.67614538212596,7.627,3,"Anacapa Island FMCA",2.352965759,"FMCA","Anacapa",-119.42725,34.07479,"channel",1.42467096610871,0.0188002737019027,5.93240382145492,1.0992894624972,0.0323767702570047,8.53923271425288,3989,4017,99.3029624097585,0,4017,0
"46","tphdo_mpa_30",14.6322419716206,12.2,6.63413085726562,4.48943164,7.53508289768484,7.344,30,"Double Point/Stormy Stack Rock Special Closure",0.022478609,"Special Closure","Double Point/Stormy Stack Rock",-122.78581,37.94724,"norca",1.2240918322645,0.100210561755054,32.470476940173,1.50537479856131,0.0970266585316091,32.456238762579,3814,4017,94.9464774707493,461,4017,11.4762260393328
"47","tphdo_mpa_31",15.0204737366194,12.46,6.93816016273438,4.68142444,7.56112372417227,7.356,31,"Duxbury Reef SMCA",0.690453925,"SMCA","Duxbury Reef",-122.72215,37.90471,"norca",1.38725298751372,0.0902239893601734,27.8179706851599,1.58519448620436,0.106381844186298,35.8272890294909,3703,4017,92.1832213094349,373,4017,9.28553647000249
"48","tphdo_mpa_32",15.22214090117,12.896,6.86135220918496,4.82541904,7.55896962907643,7.3726,32,"Egg (Devil's Slide) Rock to Devil's Slide Special Closure",0.050151627,"Special Closure","Egg (Devil's Slide) Rock to Devil's Slide",-122.52019,37.57737,"norca",1.21600474326674,0.0966938220990665,30.0006560303937,1.46733228790595,0.0927643734168212,31.2724220248977,3768,4017,93.8013442867812,284,4017,7.06995270102066
"49","tphdo_mpa_33",12.8106666666667,10.69,6.41963263289121,3.69906128,7.52066915608663,7.294,33,"False Klamath Rock Special Closure",0.026790506,"Special Closure","False Klamath Rock",-124.11171,41.59387,"norca",0.660154406796703,0.136963017196845,45.4747810174984,1.47873351723863,0.11094310974591,41.2688295693909,3709,4017,92.3325865073438,947,4017,23.5748070699527
"50","tphdo_mpa_34",18.5364799601693,16.16,7.86472671964152,7.58691548,7.69700497883993,7.662,34,"Farnsworth Offshore SMCA",6.671486895,"SMCA","Farnsworth Offshore",-118.51672,33.33322,"channel",1.73503510968434,0.0120323624235811,3.48357784540238,0.959907788618033,0.02698768050597,6.49085859831615,3977,4017,99.0042320139408,0,4017,0
"51","tphdo_mpa_35",18.559073935773,16.17,7.87509586028379,7.58691548,7.69709185959671,7.662,35,"Farnsworth Onshore SMCA",2.590291594,"SMCA","Farnsworth Onshore",-118.4813,33.33242,"channel",1.74259307859013,0.0117522434797504,3.50818410304665,0.956313970609112,0.027211962376327,6.62552562725221,3977,4017,99.0042320139408,0,4017,0
"52","tphdo_mpa_36",17.7831018172766,15.72,7.70452959058999,7.24132844,7.67514239482201,7.621,36,"Footprint FMR",21.31123705,"FMR","Footprint",-119.47643,33.9349,"channel",1.380598837824,0.0182706232204015,5.55103698781563,1.10036642214188,0.0344485050536374,9.11786653764474,3994,4017,99.4274334080159,0,4017,0
"53","tphdo_mpa_37",17.8219517052527,15.72,7.71649190026388,7.27012736,7.67563455314912,7.624,37,"Footprint SMR",7.054430237,"SMR","Footprint",-119.46908,33.97612,"channel",1.39383355082784,0.0183498658164613,5.7465190728612,1.10288229871536,0.0338556134925157,8.98044902764406,3990,4017,99.32785660941,0,4017,0
"54","tphdo_mpa_38",13.7720057256659,11.41,6.06064600577545,3.81425696,7.48936694050286,7.303,38,"Gerstle Cove SMR",0.010162886,"SMR","Gerstle Cove",-123.33022,38.56647,"norca",1.12162309515478,0.103632745716977,36.1155978142634,1.46105872325073,0.0954136715708606,34.3035219712197,3988,4017,99.278068210107,894,4017,22.2554144884242
"55","tphdo_mpa_39",15.0708339556883,12.816,6.92093258872791,5.476914608,7.56718894697535,7.422,39,"Greyhound Rock SMCA",12.00218882,"SMCA","Greyhound Rock",-122.29547,37.06091,"centralca",1.12891857731999,0.0649703564367287,19.1805321023893,1.38746762788991,0.081550056652831,24.8963856025853,4009,4017,99.8008464027882,87,4017,2.16579536967886
